in,1.757
the,0.388
right,6.589
hands,3.910
",",0.002
location,9.848
data,7.674
can,1.484
be,1.233
a,1.410
force,6.688
for,3.568
good,7.532
.,2.164
it,1.168
can,2.009
provide,5.005
publishers,8.643
and,0.415
app,12.287
developers,8.661
with,2.336
advertising,9.615
revenue,4.644
so,6.093
consumers,9.312
can,1.547
access,6.234
free,6.784
services,6.563
and,0.170
information,7.444
.,1.094
paying,9.325
for,2.889
college,7.551
seems,9.640
out,5.730
of,2.906
reach,8.523
for,3.939
many,3.469
americans,6.100
",",0.006
so,4.262
the,0.458
idea,6.192
of,0.721
free,7.689
college,7.751
has,4.025
broad,8.570
appeal,5.277
.,0.594
several,4.599
democratic,7.679
presidential,3.324
candidates,7.856
and,0.839
members,5.723
of,0.151
congress,7.555
have,3.412
endorsed,10.775
it,5.148
.,0.000
very,7.963
few,4.162
issues,6.603
can,1.547
bring,5.867
together,5.568
lawmakers,8.046
of,1.156
both,5.026
parties,6.505
.,0.000
animal,9.555
cruelty,12.233
is,1.756
CD,0.000
of,1.497
them,0.917
.,0.000
koalas,5.559
have,3.434
been,1.301
running,6.104
into,3.618
hard,7.820
times,4.036
.,0.000
they,3.026
have,2.214
suffered,7.155
for,3.790
years,6.442
from,2.819
habitat,9.259
destruction,9.096
",",0.436
dog,8.835
attacks,6.256
",",0.004
automobile,10.691
accidents,9.182
.,0.305
some,4.696
recent,7.731
reports,4.634
have,2.173
suggested,4.773
that,0.696
women,6.561
who,2.105
give,6.757
birth,4.598
by,3.920
cesarean,3.854
section,7.967
are,0.965
more,0.654
likely,4.044
to,0.191
have,3.293
obese,11.607
children,6.017
.,0.000
but,5.605
a,3.220
large,3.729
new,6.455
study,7.133
found,4.206
no,2.582
link,7.978
between,3.619
the,0.198
method,8.797
of,0.885
birth,7.493
and,0.092
obesity,3.953
.,2.153
pancreatic,13.453
cancer,8.663
has,2.150
a,0.491
bad,6.809
reputation,8.384
.,0.699
it,1.168
is,0.786
a,0.980
terrible,7.411
disease,7.982
",",1.309
but,1.220
most,3.442
people,4.919
do,3.792
not,0.266
realize,7.020
there,4.977
are,0.158
ways,8.804
that,2.790
early,5.648
detection,10.009
can,2.515
help,4.881
.,3.050
some,4.696
nutrition,13.914
experts,6.936
say,8.179
eggs,10.209
are,0.874
good,5.973
for,1.996
you,5.636
",",0.006
even,2.339
though,1.609
they,1.529
are,1.201
high,6.117
in,1.960
cholesterol,12.480
.,2.245
others,7.610
are,1.053
sure,7.538
they,5.439
are,1.202
bad,7.879
.,1.168
experts,6.944
generally,7.561
agree,4.705
that,0.642
watching,6.353
a,1.740
lot,6.003
of,0.902
television,7.068
is,6.076
bad,7.868
for,2.403
children,6.671
.,0.000
now,4.955
a,1.990
new,3.420
study,6.888
suggests,6.230
it,3.264
may,1.943
not,2.534
be,2.160
very,4.431
good,4.266
for,2.217
adults,6.075
",",0.007
either,7.935
.,4.086
legislators,9.976
and,0.769
gun,7.917
safety,8.191
advocates,9.948
often,3.512
focus,7.687
on,0.768
how,6.215
guns,6.061
are,0.923
purchased,7.643
.,2.542
but,5.605
many,5.562
lives,6.780
could,1.753
be,1.579
saved,6.314
",",1.830
especially,5.255
