in,2.745
the,1.401
right,6.800
hands,6.653
",",0.605
location,10.333
data,8.942
can,5.526
be,1.291
a,3.362
force,7.364
for,4.545
good,7.903
.,2.580
it,3.560
can,5.555
provide,5.250
publishers,10.759
and,3.150
app,14.282
developers,10.744
with,3.270
advertising,10.331
revenue,6.352
so,7.154
consumers,14.490
can,4.415
access,6.423
free,8.233
services,8.934
and,3.007
information,9.023
.,2.716
paying,12.222
for,3.928
college,8.580
seems,11.693
out,7.093
of,4.326
reach,9.521
for,5.734
many,5.890
americans,8.849
",",2.244
so,5.704
the,2.507
idea,7.005
of,2.149
free,8.352
college,8.207
has,5.850
broad,11.281
appeal,6.541
.,1.417
several,6.304
democratic,9.266
presidential,5.964
candidates,8.575
and,3.633
members,6.400
of,1.947
congress,8.837
have,4.727
endorsed,11.609
it,6.035
.,1.404
very,9.121
few,4.673
issues,7.770
can,5.483
bring,5.928
together,7.525
lawmakers,9.080
of,2.985
both,6.593
parties,7.839
.,1.214
animal,10.979
cruelty,13.777
is,4.000
CD,3.571
of,2.515
them,5.812
.,0.585
koalas,6.255
have,5.184
been,2.016
running,8.535
into,4.730
hard,9.112
times,5.226
.,1.351
they,4.436
have,4.721
suffered,7.932
for,4.343
years,7.586
from,4.145
habitat,9.930
destruction,10.689
",",2.507
dog,11.030
attacks,8.910
",",3.222
automobile,13.193
accidents,12.850
.,5.506
some,5.620
recent,9.415
reports,6.756
have,4.929
suggested,5.610
that,1.209
women,8.165
who,5.397
give,8.767
birth,6.306
by,4.776
cesarean,4.228
section,8.910
are,4.584
more,4.620
likely,4.384
to,0.637
have,3.390
obese,14.590
children,6.984
.,1.229
but,6.074
a,4.329
large,5.653
new,7.283
study,7.668
found,5.849
no,4.205
link,8.592
between,4.692
the,1.737
method,9.281
of,1.836
birth,8.324
and,2.806
obesity,4.705
.,3.833
pancreatic,16.774
cancer,9.611
has,5.372
a,2.337
bad,7.710
reputation,8.749
.,2.040
it,3.560
is,2.454
a,2.408
terrible,8.413
disease,8.110
",",3.004
but,2.934
most,5.626
people,5.756
do,5.825
not,1.309
realize,7.950
there,7.109
are,4.402
ways,10.688
that,4.013
early,8.270
detection,11.586
can,5.120
help,5.058
.,5.142
some,5.620
nutrition,15.451
experts,10.234
say,9.265
eggs,11.102
are,4.929
good,7.515
for,3.353
you,7.206
",",2.038
even,5.442
though,2.015
they,3.090
are,3.713
high,7.219
in,3.264
cholesterol,14.225
.,3.141
others,8.117
are,3.940
sure,8.599
they,6.526
are,3.393
bad,9.086
.,1.864
experts,10.530
generally,8.547
agree,7.432
that,1.567
watching,10.691
a,2.742
lot,6.282
of,1.722
television,7.716
is,7.343
bad,9.264
for,3.692
children,7.616
.,1.300
now,8.005
a,3.995
new,4.702
study,7.234
suggests,7.955
it,4.345
may,4.553
not,2.750
be,2.574
very,5.975
good,4.453
for,3.776
adults,8.956
",",2.908
either,8.922
.,5.174
legislators,13.561
and,3.303
gun,9.337
safety,9.832
advocates,11.923
often,6.504
focus,10.180
on,2.363
how,7.954
guns,9.560
are,3.707
purchased,8.441
.,3.501
but,6.074
many,6.543
lives,7.827
could,5.529
be,1.731
saved,6.922
",",4.062
especially,8.647
among,8.015
children,8.130
",",2.768
if,7.628
they,3.312
looked,7.129
more,5.480
at,5.543
how,9.046
they,3.144
are,3.646
stored,8.539
.,3.870
most,5.997
cricket,10.919
species,6.445
",",3.185
indoors,12.275
or,5.138
outdoors,15.364
",",3.347
are,8.225
omnivorous,8.169
.,1.923
they,4.436
will,6.315
eat,6.419
almost,7.806
any,6.603
organic,10.102
material,7.332
",",3.148
usually,8.123
preferring,9.460
items,9.708
derived,10.679
from,0.589
plants,10.142
.,2.072
the,1.713
american,6.661
medical,9.168
malpractice,12.540
system,7.197
is,2.904
doing,9.273
almost,7.986
nothing,7.262
to,3.303
improve,6.666
the,1.777
quality,8.112
of,1.179
health,9.136
care,4.153
",",4.362
research,8.591
suggests,11.175
.,3.958
what,8.636
may,6.328
be,1.912
more,5.127
concerning,13.156
is,8.151
that,4.419
there,4.631
is,1.916
very,5.555
little,4.043
discussion,13.048
",",3.599
much,7.888
less,7.461
action,10.000
",",3.971
on,5.379
reform,11.362
.,5.805
many,6.036
studies,6.896
have,4.212
found,5.527
that,5.289
obesity,4.511
is,3.956
associated,7.068
with,0.396
an,4.148
increased,7.100
risk,4.641
for,3.543
prostate,9.261
cancer,1.154
.,0.977
now,8.005
a,3.995
new,4.702
study,7.234
suggests,7.955
that,1.129
